Airline,Source,Destination,Departure,Arrival,Number of Stops,Stopover Details,Price,Class,Date
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,6:25 pm,1:20 am+2,2 stops,", 1h 55m layover, <b>London Heathrow</b>, , 1h 55m layover, <b>Frankfurt am Main</b>","C$ 2,693",Premium Flexible,2024-07-08
Lufthansa • Operated by Air Canada,Toronto Pearson Intl,Bengaluru Intl,4:15 pm,1:20 am+2,1 stop,", 6h 30m layover, <b>Frankfurt am Main</b>","C$ 1,937",Economy Basic,2024-07-08
"LOT, Vistara",Toronto Pearson Intl,Bengaluru Intl,10:25 pm,7:45 am+2,2 stops,", 2h 20m layover, <b>Warsaw Frederic Chopin</b>, , 3h 25m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 1,484",Economy Saver,2024-07-08
"Lufthansa • Operated by Air India, Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,5:45 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 3h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 1,962",Economy Basic,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,4:00 pm,1:20 am+2,2 stops,", 4h 17m layover, <b>Montreal Pierre Elliott Trudeau Intl</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 1,937",Standard,2024-07-08
"Air Canada, Air India",Toronto Pearson Intl,Bengaluru Intl,2:00 pm,9:50 pm+1,2 stops,", 2h 30m layover, <b>Newark</b>, , 1h 45m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 1,822",Basic Economy,2024-07-08
Cathay Pacific,Toronto Pearson Intl,Bengaluru Intl,3:35 pm,12:10 am+2,1 stop,", 1h 55m layover, <b>Hong Kong Intl</b>","C$ 2,104",Premium Economy Essential,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,9:20 pm,1:20 am+2,1 stop,", 1h 50m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,1:20 am+2,1 stop,", 1h 50m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
Lufthansa • Operated by Air Canada,Toronto Pearson Intl,Bengaluru Intl,9:20 pm,1:20 am+2,1 stop,", 1h 50m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Economy Flex,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,6:20 pm,1:20 am+2,1 stop,", 5h 05m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
"Air Canada, Lufthansa • Operated by Lufthansa",Toronto Pearson Intl,Bengaluru Intl,6:20 pm,1:20 am+2,1 stop,", 5h 05m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
Lufthansa,Toronto Pearson Intl,Bengaluru Intl,6:20 pm,1:20 am+2,1 stop,", 5h 05m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Economy Flex,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,6:00 pm,1:20 am+2,2 stops,", 2h 17m layover, <b>Montreal Pierre Elliott Trudeau Intl</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,6:25 pm,1:20 am+2,2 stops,", 1h 55m layover, <b>London Heathrow</b>, , 1h 55m layover, <b>Frankfurt am Main</b>","C$ 2,693",Premium Flexible,2024-07-08
Lufthansa • Operated by Air Canada,Toronto Pearson Intl,Bengaluru Intl,6:00 pm,1:20 am+2,2 stops,", 2h 17m layover, <b>Montreal Pierre Elliott Trudeau Intl</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 2,706",Premium Economy Basic,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,4:15 pm,1:20 am+2,1 stop,", 6h 30m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,5:30 pm,1:20 am+2,2 stops,", 3h 15m layover, <b>Munich Franz Josef Strauss</b>, , 1h 00m layover, <b>Frankfurt am Main</b>","C$ 2,727",Premium Lowest,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,5:30 pm,1:20 am+2,2 stops,", 1h 15m layover, <b>Munich Franz Josef Strauss</b>, , 3h 00m layover, <b>Frankfurt am Main</b>","C$ 2,727",Premium Lowest,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,4:15 pm,1:20 am+2,1 stop,", 6h 30m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
Lufthansa • Operated by Air Canada,Toronto Pearson Intl,Bengaluru Intl,4:15 pm,1:20 am+2,1 stop,", 6h 30m layover, <b>Frankfurt am Main</b>","C$ 2,709",Premium Economy Flex,2024-07-08
"Air Canada, Lufthansa",Toronto Pearson Intl,Bengaluru Intl,5:30 pm,1:20 am+2,2 stops,", 2h 15m layover, <b>Munich Franz Josef Strauss</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 2,727",Premium Lowest,2024-07-08
Air Canada • Operated by Lufthansa,Toronto Pearson Intl,Bengaluru Intl,5:00 pm,1:20 am+2,2 stops,", 3h 17m layover, <b>Montreal Pierre Elliott Trudeau Intl</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 2,684",Premium Flexible,2024-07-08
Lufthansa • Operated by Air Canada,Toronto Pearson Intl,Bengaluru Intl,5:00 pm,1:20 am+2,2 stops,", 3h 17m layover, <b>Montreal Pierre Elliott Trudeau Intl</b>, , 2h 00m layover, <b>Frankfurt am Main</b>","C$ 2,705",Premium Economy Basic,2024-07-08
"Air Canada, Air India",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,6:25 am+2,1 stop,", 7h 10m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,731",Premium Flexible,2024-07-08
"LOT, Vistara",Toronto Pearson Intl,Bengaluru Intl,10:25 pm,7:45 am+2,2 stops,", 2h 20m layover, <b>Warsaw Frederic Chopin</b>, , 3h 25m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,501",Premium Standard,2024-07-08
"Lufthansa, Air India",Toronto Pearson Intl,Bengaluru Intl,8:25 pm,5:45 am+2,2 stops,", 1h 15m layover, <b>Munich Franz Josef Strauss</b>, , 4h 55m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,866",Premium Economy Flex,2024-07-08
"Lufthansa, Air India",Toronto Pearson Intl,Bengaluru Intl,8:25 pm,6:25 am+2,2 stops,", 2h 05m layover, <b>Munich Franz Josef Strauss</b>, , 4h 05m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,866",Premium Economy Flex,2024-07-08
"Air Canada, Vistara",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,9:05 am+2,1 stop,", 9h 50m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,694",Premium Lowest,2024-07-08
"Air Canada • Operated by Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,8:25 pm,9:05 am+2,2 stops,", 2h 05m layover, <b>Munich Franz Josef Strauss</b>, , 6h 45m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,659",Premium Flexible,2024-07-08
"Air Canada, Air India",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,8:55 am+2,1 stop,", 9h 45m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,731",Premium Flexible,2024-07-08
"SWISS • Operated by Vistara, Air Canada",Toronto Pearson Intl,Bengaluru Intl,8:10 pm,9:05 am+2,2 stops,", 2h 00m layover, <b>Zurich</b>, , 6h 35m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,656",Premium Economy Flex,2024-07-08
Air Canada • Operated by Vistara,Toronto Pearson Intl,Bengaluru Intl,7:45 pm,9:05 am+2,1 stop,", 9h 50m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,731",Premium Flexible,2024-07-08
"Lufthansa, Air India • Operated by Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,5:45 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 3h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,891",Premium Economy Flex,2024-07-08
"Lufthansa, Vistara • Operated by Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,7:45 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 5h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,710",Premium Economy Basic,2024-07-08
"Lufthansa, Air India • Operated by Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,6:25 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 2h 40m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,891",Premium Economy Flex,2024-07-08
"Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,6:20 pm,7:45 am+2,2 stops,", 5h 20m layover, <b>Frankfurt am Main</b>, , 5h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,709",Premium Economy Basic,2024-07-08
"Air Canada, Vistara",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,10:50 am+2,1 stop,", 11h 45m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,694",Premium Lowest,2024-07-08
"Lufthansa, Vistara • Operated by Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,8:50 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 6h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,710",Premium Economy Basic,2024-07-08
"Air Canada • Operated by Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,9:05 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 5h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,684",Premium Flexible,2024-07-08
"Lufthansa • Operated by Vistara, Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,9:05 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 5h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,706",Premium Economy Basic,2024-07-08
"ITA Airways, Vistara",Toronto Pearson Intl,Bengaluru Intl,4:40 pm,9:05 am+2,2 stops,", 6h 55m layover, <b>Rome Fiumicino</b>, , 5h 00m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,440",Premium,2024-07-08
"Air Canada • Operated by Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,6:20 pm,9:05 am+2,2 stops,", 5h 20m layover, <b>Frankfurt am Main</b>, , 5h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,684",Premium Flexible,2024-07-08
"Air Canada, Air India",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,11:00 am+2,1 stop,", 11h 35m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,731",Premium Flexible,2024-07-08
Lufthansa • Operated by Vistara,Toronto Pearson Intl,Bengaluru Intl,6:20 pm,9:05 am+2,2 stops,", 5h 20m layover, <b>Frankfurt am Main</b>, , 5h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,706",Premium Economy Basic,2024-07-08
"Cathay Pacific, Air India",Toronto Pearson Intl,Bengaluru Intl,3:35 pm,5:45 am+2,2 stops,", 1h 45m layover, <b>Hong Kong Intl</b>, , 3h 40m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,722",Premium Economy Essential,2024-07-08
"Air Canada • Operated by Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,5:30 pm,9:05 am+2,2 stops,", 4h 35m layover, <b>Munich Franz Josef Strauss</b>, , 6h 45m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,659",Premium Flexible,2024-07-08
"Lufthansa, Vistara",Toronto Pearson Intl,Bengaluru Intl,6:20 pm,8:50 am+2,2 stops,", 5h 20m layover, <b>Frankfurt am Main</b>, , 6h 05m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,709",Premium Economy Basic,2024-07-08
"Lufthansa, Vistara • Operated by Air Canada",Toronto Pearson Intl,Bengaluru Intl,9:20 pm,9:05 am+2,2 stops,", 2h 05m layover, <b>Frankfurt am Main</b>, , 5h 20m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,710",Premium Economy Basic,2024-07-08
"Air Canada, Vistara",Toronto Pearson Intl,Bengaluru Intl,7:45 pm,11:50 am+2,1 stop,", 12h 30m layover, <b>New Delhi Indira Gandhi Intl</b>","C$ 2,694",Premium Lowest,2024-07-08
"LOT, Air India",Toronto Pearson Intl,Bengaluru Intl,10:25 pm,5:45 am+2,2 stops,", 2h 20m layover, <b>Warsaw Frederic Chopin</b>, , 1h 25m layover, <b>Mumbai Chhatrapati Shivaji Intl</b>","C$ 2,551",Premium Standard,2024-07-08
